,0,1,2,3,4,5,6,7,8
0,1.0,0.5,0.333,0.25,0.2,0.167,0.143,0.125,0.111
1,0.5,0.333,0.25,0.2,0.167,0.143,0.125,0.111,0.1
2,0.333,0.25,0.2,0.167,0.143,0.125,0.111,0.1,0.091
3,0.25,0.2,0.167,0.143,0.125,0.111,0.1,0.091,0.083
4,0.2,0.167,0.143,0.125,0.111,0.1,0.091,0.083,0.077
5,0.167,0.143,0.125,0.111,0.1,0.091,0.083,0.077,0.071
6,0.143,0.125,0.111,0.1,0.091,0.083,0.077,0.071,0.067
7,0.125,0.111,0.1,0.091,0.083,0.077,0.071,0.067,0.062
8,0.111,0.1,0.091,0.083,0.077,0.071,0.067,0.062,0.059
