,0,1,2,3,4
0,0.596,0.876,0.112,0.112,0.876
1,0.408,0.798,0.169,0.297,0.55
2,0.047,0.396,0.23,0.218,0.281
3,0.269,0.179,0.069,0.307,0.345
4,0.276,0.162,0.387,0.503,0.193
5,0.276,0.193,0.503,0.387,0.162
6,0.269,0.345,0.307,0.069,0.179
7,0.047,0.281,0.218,0.23,0.396
8,0.408,0.55,0.297,0.169,0.798
