,0,1,2,3,4
0,1.391,0.439,0.344,0.344,0.439
1,1.049,0.252,0.436,0.163,0.362
2,0.327,0.082,0.274,0.212,0.138
3,0.221,0.195,0.143,0.143,0.195
4,0.224,0.125,0.239,0.143,0.176
5,0.224,0.176,0.143,0.239,0.125
6,0.221,0.195,0.143,0.143,0.195
7,0.327,0.138,0.212,0.274,0.082
8,1.049,0.362,0.163,0.436,0.252
